,1.4  oz,1.5  oz,1.8  oz,2.  oz,2.1  oz,2.4  oz,2.2  oz,2.3  oz,2.4  oz,2.5  oz,2.9  oz,3.2  oz,3.5  oz,3.9  oz,1.6  oz,1.7  oz,1.9  oz,2.3  oz,2.4  oz,2.7  oz,3.  oz,3.5  oz,4.5  oz,5.3  oz,6.5  oz,9.  oz,11.  oz,1.94  oz,2.01  oz,2.08  oz,2.19  oz,2.33  oz,2.65  oz,2.93  oz,3.49  oz,4.18  oz,4.8  oz,5.47  oz,7.09  oz,10.19  oz,13.4  oz,20.  oz,2.65  oz,2.82  oz,3.07  oz,3.1  oz,3.14  oz,3.28  oz,2.72  oz,2.89  oz,3.32  oz,3.39  oz,3.46  oz,3.6  oz,3.88  oz,4.37  oz,4.87  oz,5.64  oz,6.7  oz,3.42  oz,3.81  oz,4.2  oz,5.22  oz,6.88  oz,9.77  oz,1.8  oz,2.  oz,2.1  oz,2.4  oz,2.6  oz,1.  oz,1.4  oz,1.7  oz,2.2  oz,2.5  oz,2.  oz,2.3  oz,2.5  oz,2.8  oz,4.3  oz,4.5  oz,5.  oz,6.3  oz,8.2  oz,3.42  oz,6.17  oz,7.2  oz,9.28  oz,12.31  oz,24.59  oz,3.35  oz,4.  oz,6.2  oz,7.3  oz,.14  oz,.25  oz,.32  oz,.46  oz,.53  oz,.74  oz,.25  oz,.28  oz,.53  oz,.56  oz,.63  oz,1.1  oz,1.2  oz,1.3  oz,1.4  oz,1.5  oz,1.8  oz,2.  oz,2.5  oz,.67  oz,.78  oz,1.  oz,1.8  oz,1.87  oz,2.26  oz,3.03  oz,3.32  oz,4.37  oz,5.78  oz,7.27  oz,.32  oz,.67  oz,.92  oz,1.24  oz,1.76  oz,1.94  oz,2.72  oz,3.18  oz,4.13  oz,4.23  oz,4.87  oz,7.06  oz,9.31  oz,4.23  oz,,,,,,,,,,,,
"Designation","00","0",1,2,3,4,"00","0",1,2,3,4,5,6,"00","0",1,2,3,4,5,6,7,8,"Small","Medium","Large","000","00","0","1","2",0.3,0.4,0.5,0.75,1,2,3,4,5,6,0.5,0.75,1,1.25,1.5,1.75,0.5,0.75,1,1.25,1.5,"1 3/4",2,2.5,3,3.5,4,1,2,3,4,5,6,0.5,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6,7,8,9,0.5,1,2,3,4,5,0.5,0.75,1,2,1,2,3,4,5,6,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,0.125,0.25,0.5,1,1.5,2,2.5,3,3.5,4,5,6,7,,0.5,1,1.5,,,4,5,6,7,8,9,10
"Ref Size (in)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
